Program	Code	Mnemonic	Summary	Severity	HelpLink
C/C++ Compiler	C2180		controlling expression has type 'type'	Error	http://msdn.microsoft.com/en-us/library/zwesbe4a.aspx
C/C++ Compiler	C2183		syntax error: translation unit is empty	Error	http://msdn.microsoft.com/en-us/library/8e2ae6hb.aspx
C/C++ Compiler	C2185		'identifier' : illegal based allocation	Error	http://msdn.microsoft.com/en-us/library/4kx9s43y.aspx
C/C++ Compiler	C2190		first parameter list longer than second	Error	http://msdn.microsoft.com/en-us/library/d1dtw812.aspx
C/C++ Compiler	C2191		second parameter list longer than first	Error	http://msdn.microsoft.com/en-us/library/dt7s9h2w.aspx
C/C++ Compiler	C2192		parameter 'number' declaration different	Error	http://msdn.microsoft.com/en-us/library/88y7tsa1.aspx
C/C++ Compiler	C2193		'identifier' : already in a segment	Error	http://msdn.microsoft.com/en-us/library/fs97xdzk.aspx
C/C++ Compiler	C2194		'identifier' : is a text segment	Error	http://msdn.microsoft.com/en-us/library/3wbw3975.aspx
C/C++ Compiler	C2195		'identifier' : is a data segment	Error	http://msdn.microsoft.com/en-us/library/eezk6zx5.aspx
C/C++ Compiler	C2199		syntax error : found 'identifier (' at global scope (was a declaration intended?)	Error	http://msdn.microsoft.com/en-us/library/20e1bs77.aspx
C/C++ Compiler	C2201		'identifier' : must have external linkage in order to be exported/imported	Error	http://msdn.microsoft.com/en-us/library/1yex70d1.aspx
C/C++ Compiler	C2203		delete operator cannot specify bounds for an array	Error	http://msdn.microsoft.com/en-us/library/yhyx04dy.aspx
C/C++ Compiler	C2205		'identifier' : cannot initialize extern variables with block scope	Error	http://msdn.microsoft.com/en-us/library/wfdsbsef.aspx
C/C++ Compiler	C2207		'member' in struct/union 'tag' has a zero-sized array	Error	http://msdn.microsoft.com/en-us/library/h22488zh.aspx
C/C++ Compiler	C2208		'type' : no members defined using this type	Error	http://msdn.microsoft.com/en-us/library/0bhx6ts2.aspx
C/C++ Compiler	C2212		'identifier' : __based not available for pointers to functions	Error	http://msdn.microsoft.com/en-us/library/b9he40hs.aspx
C/C++ Compiler	C2213		'modifier' : illegal argument to __based	Error	http://msdn.microsoft.com/en-us/library/esh19454.aspx
C/C++ Compiler	C2217		'attribute1' requires 'attribute2'	Error	http://msdn.microsoft.com/en-us/library/8cxzyx6f.aspx
C/C++ Compiler	C2219		syntax error : type qualifier must be after '*'	Error	http://msdn.microsoft.com/en-us/library/097sy9kt.aspx
C/C++ Compiler	C2220		warning treated as error - no object file generated	Error	http://msdn.microsoft.com/en-us/library/ksk5k0ta.aspx
C/C++ Compiler	C2223		left of '-&gt;identifier' must point to struct/union	Error	http://msdn.microsoft.com/en-us/library/2eaz03kd.aspx
C/C++ Compiler	C2224		left of '.identifier' must have struct/union type	Error	http://msdn.microsoft.com/en-us/library/a5f5awf5.aspx
C/C++ Compiler	C2229		type 'identifier' has an illegal zero-sized array	Error	http://msdn.microsoft.com/en-us/library/0scy7z2d.aspx
C/C++ Compiler	C2233		'identifier' : arrays of objects containing zero-size arrays are illegal	Error	http://msdn.microsoft.com/en-us/library/81zca88z.aspx
C/C++ Compiler	C2234		'name' : arrays of references are illegal	Error	http://msdn.microsoft.com/en-us/library/4skf3w6b.aspx
C/C++ Compiler	C2236		unexpected 'class-key' 'identifier''. Did you forget a ';'?	Error	http://msdn.microsoft.com/en-us/library/wx7x0ezw.aspx
C/C++ Compiler	C2243		'conversion type' conversion from 'type1' to 'type2' exists, but is inaccessible	Error	http://msdn.microsoft.com/en-us/library/s5480d1f.aspx
C/C++ Compiler	C2244		'identifier' : unable to match function definition to an existing declaration	Error	http://msdn.microsoft.com/en-us/library/yf190ysd.aspx
C/C++ Compiler	C2247		'identifier' not accessible because 'class' uses 'specifier' to inherit from 'class'	Error	http://msdn.microsoft.com/en-us/library/a1ktd2d9.aspx
C/C++ Compiler	C2248		'member' : cannot access 'access' member declared in class 'class'	Error	http://msdn.microsoft.com/en-us/library/tsbce2bh.aspx
C/C++ Compiler	C2249		'member' : no accessible path to access member declared in virtual base 'class'	Error	http://msdn.microsoft.com/en-us/library/3ex85724.aspx
C/C++ Compiler	C2250		'identifier' : ambiguous inheritance of 'class::member'	Error	http://msdn.microsoft.com/en-us/library/6fts3ys1.aspx
C/C++ Compiler	C2252		cannot explicitly instantiate template in current scope	Error	http://msdn.microsoft.com/en-us/library/4ds5s2s4.aspx
C/C++ Compiler	C2253		'function' : pure specifier or abstract override specifier only allowed on virtual function	Error	http://msdn.microsoft.com/en-us/library/6s480ckd.aspx
C/C++ Compiler	C2254		'function' : pure specifier or abstract override specifier not allowed on friend function	Error	http://msdn.microsoft.com/en-us/library/y80xsx5z.aspx
C/C++ Compiler	C2256		illegal use of friend specifier on 'function'	Error	http://msdn.microsoft.com/en-us/library/zad5s3a3.aspx
C/C++ Compiler	C2259		'class' : cannot instantiate abstract class	Error	http://msdn.microsoft.com/en-us/library/zxt206sk.aspx
C/C++ Compiler	C2261		'string' : assembly reference is invalid and cannot be resolved	Error	http://msdn.microsoft.com/en-us/library/ms173693.aspx
C/C++ Compiler	C2264		'function' : error in function definition or declaration; function not called	Error	http://msdn.microsoft.com/en-us/library/c84eh4ck.aspx
C/C++ Compiler	C2267		'function' : static functions with block scope are illegal	Error	http://msdn.microsoft.com/en-us/library/1ewx8432.aspx
C/C++ Compiler	C2270		'function' : modifiers not allowed on nonmember functions	Error	http://msdn.microsoft.com/en-us/library/h8tw34k0.aspx
C/C++ Compiler	C2271		'operator' : new/delete cannot have formal list modifiers	Error	http://msdn.microsoft.com/en-us/library/tts5da2h.aspx
C/C++ Compiler	C2272		'function' : modifiers not allowed on static member functions	Error	http://msdn.microsoft.com/en-us/library/475eh775.aspx
C/C++ Compiler	C2273		'type' : illegal as right side of '-&gt;' operator	Error	http://msdn.microsoft.com/en-us/library/0f4d8012.aspx
C/C++ Compiler	C2274		'type' : illegal as right side of '.' operator	Error	http://msdn.microsoft.com/en-us/library/kst1dcx0.aspx
C/C++ Compiler	C2275		'identifier' : illegal use of this type as an expression	Error	http://msdn.microsoft.com/en-us/library/76c9k4ah.aspx
C/C++ Compiler	C2276		'operator' : illegal operation on bound member function expression	Error	http://msdn.microsoft.com/en-us/library/850cstw1.aspx
C/C++ Compiler	C2277		'identifier' : cannot take address of this member function	Error	http://msdn.microsoft.com/en-us/library/049f98xy.aspx
C/C++ Compiler	C2279		exception specification cannot appear in a typedef declaration	Error	http://msdn.microsoft.com/en-us/library/7c38yzs9.aspx
C/C++ Compiler	C2285		pointers to members representation has already been determined - pragma ignored	Error	http://msdn.microsoft.com/en-us/library/h32dy7wz.aspx
